"species","NMDS1","NMDS2"
"soft_sediment",0.0713425825305965,0.363367111093838
"shell_debris",-0.20744237570049,0.0990612240795278
"cobble",-0.101487935812544,0.297447830459394
"pebble",-0.19704249100732,0.710684424677178
"hard_substrate",0.992303288518731,-0.315196020058706
"anthro_substrate",0.0317849114136325,0.587808424618431
"unknown",0.136248812278462,0.39828451318221
"filamentous_brown",0.720247538811311,0.28068277201728
"kelp_holdfast",-0.779918120569263,-0.340019900439635
"sargassum",-0.376784440298523,0.755768966372566
"sugar_kelp",-0.87027253891248,-0.449105559752604
"green_algae",-0.163703524014118,0.807937471519621
"textured_kelp",0.859714859090394,-0.660914261693873
"other_brown_kelp",-0.995716949706423,0.00533483211264938
"red_algae",0.336608311870694,0.450185901472849
"coralline_algae",0.971097658979255,-0.241863783106087
"kelp_bryozoan",-0.70422429156562,-0.437055271274414
"sessile_invert",0.0930931237428923,-0.21529069893088
"mobile_invert",0.155245103815772,-0.0276650365316068
