"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,7,"1_1","1","1","2022_10_06_13-50-40_144.jpg",0.07,0.06,0.04,0.01,0,0,0,0,0,0,0.67,0.01,0,0,0.03,0,0.01,0,0
1,60,"1_1","1","1","2022_10_06_13-50-40_80.jpg",0.01,0.28,0.07,0.09,0,0,0.01,0,0,0,0.48,0.03,0,0,0,0,0.01,0,0
1,8,"1_1","1","1","2022_10_06_13-50-40_152.jpg",0.02,0.31,0.08,0.01,0,0,0,0,0.02,0,0.51,0,0,0,0,0,0,0,0
1,18,"1_1","1","1","2022_10_06_13-50-40_224.jpg",0.03,0.11,0.03,0.04,0,0,0,0,0,0,0.66,0.06,0,0,0,0,0,0,0
1,2,"1_1","1","1","2022_10_06_13-50-40_104.jpg",0.05,0.08,0.06,0.04,0,0,0.01,0,0,0,0.61,0.02,0,0,0,0,0.03,0,0.01
1,38,"1_1","1","1","2022_10_06_13-50-40_368.jpg",0.01,0.13,0.14,0.03,0,0,0.01,0,0,0,0.48,0.02,0.01,0,0,0,0.01,0,0
1,11,"1_1","1","1","2022_10_06_13-50-40_168.jpg",0.03,0.13,0.03,0,0,0,0,0,0,0,0.75,0.01,0,0,0.03,0,0.01,0,0
1,23,"1_1","1","1","2022_10_06_13-50-40_256.jpg",0,0.06,0.02,0,0,0,0.02,0,0,0,0.87,0,0,0,0,0,0.02,0,0
1,31,"1_1","1","1","2022_10_06_13-50-40_32.jpg",0.01,0.19,0.01,0.02,0,0,0.09,0,0,0,0.59,0.02,0,0,0.01,0,0.01,0,0
1,53,"1_1","1","1","2022_10_06_13-50-40_48.jpg",0.08,0.2,0.08,0.05,0,0,0.08,0,0,0,0.43,0.02,0,0,0,0,0,0,0
1,26,"1_1","1","1","2022_10_06_13-50-40_280.jpg",0,0.04,0.02,0,0,0,0,0.01,0,0,0.47,0,0.13,0,0,0,0,0,0
1,57,"1_1","1","1","2022_10_06_13-50-40_64.jpg",0.02,0.13,0.01,0.04,0,0,0.07,0,0,0,0.65,0,0.08,0,0,0,0,0,0
1,19,"1_1","1","1","2022_10_06_13-50-40_232.jpg",0.05,0.15,0.04,0.02,0,0,0,0,0,0,0.6,0.03,0,0,0,0,0,0,0
1,29,"1_1","1","1","2022_10_06_13-50-40_304.jpg",0,0.07,0,0,0,0,0.01,0,0,0,0.81,0,0,0,0,0,0,0,0
1,10,"1_1","1","1","2022_10_06_13-50-40_160.jpg",0.03,0.07,0.05,0.01,0,0,0,0,0,0,0.8,0.01,0,0,0,0,0.01,0,0
1,6,"1_1","1","1","2022_10_06_13-50-40_136.jpg",0.08,0.16,0.04,0,0,0,0,0,0,0,0.67,0.01,0,0,0,0,0,0,0
1,30,"1_1","1","1","2022_10_06_13-50-40_312.jpg",0.03,0.12,0.03,0.01,0,0,0.05,0,0,0,0.74,0,0,0,0,0,0.01,0,0
1,4,"1_1","1","1","2022_10_06_13-50-40_120.jpg",0,0.11,0.08,0.03,0,0,0,0,0,0,0.68,0.03,0,0,0,0,0,0,0
1,22,"1_1","1","1","2022_10_06_13-50-40_248.jpg",0.01,0.07,0.04,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0
1,69,"1_2","1","2","2022_10_06_14-05-43_144.jpg",0,0.03,0.02,0,0,0,0.01,0,0,0,0.92,0,0,0,0,0,0,0,0
1,113,"1_2","1","2","2022_10_06_14-05-43_72.jpg",0,0.02,0.03,0.01,0,0,0.09,0,0,0,0.67,0,0,0,0,0,0,0,0
1,73,"1_2","1","2","2022_10_06_14-05-43_168.jpg",0,0.13,0.01,0,0,0,0,0,0.01,0,0.83,0.01,0,0,0.01,0,0,0,0
1,106,"1_2","1","2","2022_10_06_14-05-43_408.jpg",0,0.02,0,0,0,0,0,0,0,0,0.92,0,0,0,0.06,0,0,0,0
1,114,"1_2","1","2","2022_10_06_14-05-43_8.jpg",0.03,0.19,0,0.02,0,0,0.06,0,0,0,0.53,0,0,0,0,0,0,0,0
1,64,"1_2","1","2","2022_10_06_14-05-43_104.jpg",0,0.03,0.01,0,0,0,0.33,0,0,0,0.47,0.12,0,0,0,0,0.03,0,0
1,117,"1_2","1","2","2022_10_06_14-05-43_96.jpg",0.01,0.23,0.01,0.01,0,0,0.01,0,0,0,0.56,0.01,0.05,0,0,0,0.02,0,0
1,74,"1_2","1","2","2022_10_06_14-05-43_176.jpg",0,0.2,0.08,0.02,0,0,0.01,0,0,0,0.55,0.01,0,0,0.01,0,0.02,0,0
1,91,"1_2","1","2","2022_10_06_14-05-43_304.jpg",0.01,0,0,0.01,0.02,0,0.09,0,0,0,0.86,0,0,0,0,0,0,0,0.01
1,104,"1_2","1","2","2022_10_06_14-05-43_40.jpg",0.04,0.21,0.07,0.06,0,0,0.17,0,0,0,0.33,0.01,0,0,0,0,0,0,0
1,71,"1_2","1","2","2022_10_06_14-05-43_16.jpg",0.03,0.11,0.06,0.01,0,0,0.08,0,0,0,0.5,0,0,0,0,0,0.02,0,0
1,105,"1_2","1","2","2022_10_06_14-05-43_400.jpg",0,0.12,0,0,0,0,0.02,0,0,0,0.74,0.12,0,0,0,0,0,0,0
1,76,"1_2","1","2","2022_10_06_14-05-43_192.jpg",0,0.2,0,0.01,0,0,0.03,0,0,0,0.59,0.11,0,0,0.01,0,0.02,0,0
1,81,"1_2","1","2","2022_10_06_14-05-43_232.jpg",0.01,0.04,0.01,0.02,0,0,0.03,0,0,0,0.88,0,0,0,0.01,0,0,0,0
1,103,"1_2","1","2","2022_10_06_14-05-43_392.jpg",0,0.08,0,0,0,0,0,0,0,0,0.88,0.02,0,0,0.02,0,0,0,0
1,75,"1_2","1","2","2022_10_06_14-05-43_184.jpg",0.01,0.1,0,0,0,0,0,0,0,0,0.78,0.01,0.08,0,0,0,0,0,0
1,80,"1_2","1","2","2022_10_06_14-05-43_224.jpg",0,0.04,0.13,0.05,0,0,0.04,0,0,0,0.68,0.01,0,0,0,0,0,0,0
1,86,"1_2","1","2","2022_10_06_14-05-43_264.jpg",0.12,0.17,0.08,0,0,0,0.04,0,0,0,0.56,0.02,0,0,0,0,0,0,0
1,101,"1_2","1","2","2022_10_06_14-05-43_376.jpg",0.02,0,0,0,0,0,0,0,0,0,0.58,0.32,0,0,0.06,0,0.02,0,0
1,89,"1_2","1","2","2022_10_06_14-05-43_288.jpg",0.01,0,0,0,0.14,0,0,0,0.03,0,0.74,0.01,0,0,0.04,0,0.01,0,0.02
1,72,"1_2","1","2","2022_10_06_14-05-43_160.jpg",0,0.11,0.02,0.02,0,0,0,0,0,0,0.81,0,0,0,0,0,0.01,0,0
1,77,"1_2","1","2","2022_10_06_14-05-43_200.jpg",0.01,0.15,0,0,0,0,0.01,0,0,0,0.67,0.02,0,0,0.02,0,0.01,0,0
1,93,"1_2","1","2","2022_10_06_14-05-43_32.jpg",0,0.21,0.01,0.02,0,0,0.33,0,0,0,0.39,0.01,0,0,0,0,0.03,0,0
1,102,"1_2","1","2","2022_10_06_14-05-43_384.jpg",0,0.08,0,0,0,0,0,0,0,0,0.86,0,0,0,0.04,0,0.02,0,0
1,68,"1_2","1","2","2022_10_06_14-05-43_136.jpg",0.01,0.14,0,0,0,0,0.01,0,0,0,0.82,0,0.01,0,0,0,0.01,0,0
1,95,"1_2","1","2","2022_10_06_14-05-43_328.jpg",0,0.07,0,0.01,0,0,0.02,0,0,0,0.73,0.01,0,0,0.02,0,0.02,0,0
1,67,"1_2","1","2","2022_10_06_14-05-43_128.jpg",0,0.02,0.11,0,0,0,0.01,0,0,0,0.66,0.01,0.19,0,0,0,0,0,0
1,98,"1_2","1","2","2022_10_06_14-05-43_352.jpg",0.05,0.09,0,0.08,0,0,0.01,0,0,0,0.56,0.03,0,0,0.12,0,0.01,0,0
1,88,"1_2","1","2","2022_10_06_14-05-43_280.jpg",0,0.01,0,0,0,0,0.02,0,0,0,0.89,0.08,0,0,0,0,0,0,0
1,84,"1_2","1","2","2022_10_06_14-05-43_248.jpg",0.05,0.06,0.05,0,0,0,0.09,0,0,0,0.71,0.01,0,0,0,0,0.01,0,0.02
1,96,"1_2","1","2","2022_10_06_14-05-43_336.jpg",0,0.01,0,0,0,0,0,0,0,0,0.88,0.11,0,0,0,0,0,0,0
1,99,"1_2","1","2","2022_10_06_14-05-43_360.jpg",0,0.16,0.04,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,0,0,0
1,116,"1_2","1","2","2022_10_06_14-05-43_88.jpg",0,0.12,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
