"species","NMDS1","NMDS2"
"soft_sediment",0.0612756687323728,0.4340293934019
"shell_debris",-0.208790052728803,0.152938629910372
"cobble",-0.15623644355759,0.311931673187529
"pebble",-0.234158809704583,0.750142271519501
"hard_substrate",0.987903698753382,-0.327112219314596
"anthro_substrate",-0.0446161412972168,0.438775200107795
"unknown",0.187067245243423,0.421510740877511
"filamentous_brown",0.665453518735944,0.242765385289844
"sargassum",-0.329408031210837,0.654779887938919
"sugar_kelp",-0.869355548323725,-0.457597393090052
"green_algae",-0.21254885656601,0.706632483927841
"textured_kelp",0.847052124636843,-0.652329480289338
"other_brown_kelp",-0.916552184674743,0.121523530784476
"red_algae",0.335904714971828,0.387514566160884
"coralline_algae",0.971146487403306,-0.251969250613917
"kelp_bryozoan",-0.787690589373253,-0.544973699142986
"sessile_invert",0.325024889352607,-0.213977005233995
"mobile_invert",0.234986268242471,-0.102734558045185
