"species","NMDS1","NMDS2"
"soft_sediment",-0.0487020084118749,0.467631201386051
"shell_debris",-0.245257631511101,0.326607744179205
"cobble",-0.122743117078394,0.210603047158829
"pebble",-0.208780687188479,0.554986709589578
"hard_substrate",0.864095383369225,-0.299646830946899
"anthro_substrate",-0.157071158046362,0.285991381785676
"unknown",0.040085194830407,-0.0311021276996
"filamentous_brown",0.548057075214904,0.0286427061350243
"kelp_holdfast",-0.675453345306264,-0.399777895184993
"sargassum",-0.301263539468514,-1.30026876342816
"sugar_kelp",-0.555864537765534,-0.289405390535988
"green_algae",-0.318350242278933,-0.325386503905669
"textured_kelp",0.731740978446717,-0.0236878553188526
"other_brown_kelp",-0.632355460090618,-1.45412682362754
"red_algae",0.177463035449833,-0.109695445069142
"coralline_algae",0.947030044929421,-0.731387792282005
"kelp_bryozoan",-0.760271007937947,-0.323818219074998
"sessile_invert",0.105501963809467,-0.501674970237082
"mobile_invert",0.197721377514509,-0.12353134542744
