"site","transect","depth","season","n_photos","brown_algae_encrusting","brown_algae_filamentous","brown_algae_fucus","brown_algae_sargassum","green_algae_filamentous","green_algae_ulva","kelp_five_rib","kelp_bull_blade","kelp_holdfast","kelp_sieve","kelp_stipe","kelp_sugar","mobile_species","red_algae_cca","red_algae_branching","red_algae_bushy","red_algae_encrusting","red_algae_filamentous","red_algae_flat_leaf","sessile_invertebrates","kelp_bryozoan","anthropogenic","boulder","cobble","pebble","sand_fine_shell","shell_hash","silt","wood_debris","unknown_area","combined_red_algae","combined_encrusting_algae","combined_green_algae"
"Centennial_Park",1,"deep","summer",70,0,0.005,0.002,0.001,0,0.095,0.002,0,0.004,0.001,0.001,0.257,0.004,0,0.021,0.008,0,0.013,0.028,0,0.003,0,0.012,0.05,0.383,0.011,0.004,0.096,0,0.001,0.069,0,0.095
"Centennial_Park",1,"deep","winter",62,0,0.008,0.001,0,0,0.008,0,0,0.002,0.002,0,0.008,0.018,0,0.016,0.002,0,0.013,0.011,0,0,0.001,0.014,0.064,0.606,0.007,0.005,0.211,0.001,0.001,0.042,0,0.008
"Centennial_Park",2,"deep","summer",72,0,0.002,0,0,0,0.044,0.005,0,0.001,0,0,0.061,0.005,0,0.002,0.007,0,0.007,0.01,0,0.003,0,0.01,0.03,0.399,0.021,0.003,0.351,0,0.039,0.027,0,0.044
"Centennial_Park",2,"deep","winter",60,0,0.004,0,0,0,0.005,0,0,0,0,0,0.002,0.001,0,0.001,0.002,0,0.001,0.003,0,0,0,0.004,0.033,0.583,0.032,0.004,0.323,0.001,0.001,0.007,0,0.005
"Centennial_Park",3,"deep","summer",48,0,0,0,0,0,0.105,0.002,0.003,0,0,0,0.081,0.004,0,0,0.012,0,0.006,0.017,0,0.003,0,0.013,0.045,0.643,0.008,0.002,0.045,0,0.01,0.035,0,0.105
"Centennial_Park",3,"deep","winter",60,0,0,0,0,0,0.002,0,0,0,0,0,0,0.001,0,0.001,0.002,0,0.001,0.002,0,0,0,0.005,0.039,0.751,0.013,0.008,0.167,0,0.007,0.007,0,0.002
"Centennial_Park",4,"shallow","summer",61,0,0.016,0,0.021,0.001,0.418,0.012,0,0,0.003,0,0.14,0.003,0,0.006,0.018,0,0.015,0.044,0,0.001,0,0.023,0.052,0.127,0.028,0,0.071,0,0.001,0.083,0,0.42
"Centennial_Park",4,"shallow","winter",64,0,0.008,0,0.005,0,0.02,0.001,0,0,0,0,0.006,0.002,0.001,0.006,0.026,0,0,0.004,0,0,0,0.03,0.056,0.394,0.205,0.002,0.235,0,0.001,0.035,0.001,0.02
"Centennial_Park",5,"shallow","summer",75,0,0.004,0,0.015,0,0.454,0.001,0,0,0,0.001,0.065,0.001,0,0.07,0.047,0,0.031,0.091,0,0,0.001,0.027,0.04,0.046,0.017,0.001,0.051,0,0.038,0.239,0,0.454
"Centennial_Park",5,"shallow","winter",66,0,0.015,0,0.015,0,0.021,0,0,0,0,0,0.012,0.004,0,0.016,0.033,0,0.008,0.02,0,0,0,0.053,0.081,0.193,0.04,0.005,0.481,0,0.003,0.077,0,0.021
"Centennial_Park",6,"shallow","summer",72,0,0,0,0.028,0,0.334,0.016,0,0.001,0,0.002,0.095,0.003,0,0.095,0.038,0,0.04,0.067,0,0.001,0,0.023,0.026,0.084,0.107,0.001,0.027,0,0.013,0.24,0,0.334
"Centennial_Park",6,"shallow","winter",63,0,0.016,0,0.005,0,0.025,0,0,0,0,0,0.019,0.002,0,0.037,0.039,0,0.02,0.025,0,0,0,0.019,0.056,0.245,0.266,0.001,0.219,0,0.006,0.12,0,0.025
"Elliott_Bay_Marina",1,"deep","summer",38,0.002,0.003,0,0,0,0,0,0.001,0.002,0.667,0.001,0.006,0.001,0.044,0.033,0,0,0.025,0.005,0,0,0,0.174,0.015,0.003,0,0,0,0,0.02,0.063,0.044,0
"Elliott_Bay_Marina",1,"deep","winter",60,0.005,0.024,0,0,0,0,0,0,0.004,0.396,0,0,0.001,0.071,0.023,0,0.001,0.026,0.004,0.004,0,0,0.326,0.013,0.021,0.045,0.001,0.005,0.002,0.028,0.054,0.072,0
"Elliott_Bay_Marina",2,"deep","summer",37,0,0.011,0,0,0,0,0.001,0,0.001,0.658,0.001,0,0.001,0.027,0.027,0,0,0.019,0.019,0,0,0,0.182,0.001,0.001,0.011,0.002,0.001,0,0.038,0.065,0.027,0
"Elliott_Bay_Marina",2,"deep","winter",60,0.001,0.021,0,0,0,0,0,0,0.001,0.305,0,0,0.003,0.06,0.013,0.001,0,0.031,0.012,0,0,0,0.421,0.008,0.002,0.023,0.004,0.008,0.001,0.084,0.057,0.06,0
"Elliott_Bay_Marina",3,"deep","summer",63,0.003,0,0,0,0,0.003,0.002,0.003,0.001,0.605,0.001,0,0.002,0.036,0.052,0.003,0,0.066,0.028,0,0,0.012,0.156,0.007,0.001,0.003,0.003,0.001,0,0.012,0.15,0.036,0.003
"Elliott_Bay_Marina",3,"deep","winter",58,0.001,0.059,0,0,0,0,0,0,0,0.254,0,0,0.002,0.105,0.062,0,0,0.101,0.029,0.001,0,0,0.286,0.024,0.007,0.013,0.016,0.015,0.001,0.025,0.193,0.105,0
"Elliott_Bay_Marina",4,"shallow","summer",60,0,0.016,0.001,0.113,0.001,0.081,0,0,0,0.047,0.001,0.004,0.009,0.074,0.139,0.002,0,0.018,0.06,0,0,0,0.361,0.006,0.001,0.003,0,0.001,0,0.058,0.219,0.074,0.082
"Elliott_Bay_Marina",4,"shallow","winter",58,0.004,0.046,0,0,0,0,0,0,0,0,0,0,0.01,0.103,0.19,0.001,0,0.055,0.054,0,0,0,0.48,0.003,0.002,0.019,0,0,0,0.033,0.3,0.103,0.001
"Elliott_Bay_Marina",5,"shallow","summer",56,0.001,0.004,0,0.011,0,0.05,0,0,0.001,0.057,0.007,0.002,0.005,0.15,0.066,0.002,0,0.016,0.06,0,0,0.005,0.411,0,0,0.036,0,0.005,0.003,0.107,0.145,0.15,0.05
"Elliott_Bay_Marina",5,"shallow","winter",56,0,0.018,0,0.003,0,0,0,0,0,0,0,0,0.004,0.084,0.144,0,0.001,0.06,0.047,0,0,0,0.524,0.002,0,0.026,0.001,0.002,0,0.085,0.25,0.085,0
"Elliott_Bay_Marina",6,"shallow","summer",59,0.003,0.015,0,0.002,0,0.165,0.001,0,0,0.028,0.002,0.005,0.003,0.155,0.16,0,0,0.008,0.064,0,0,0,0.357,0.004,0.001,0.001,0,0,0,0.026,0.233,0.155,0.165
"Elliott_Bay_Marina",6,"shallow","winter",58,0.001,0.079,0,0,0,0,0,0,0,0.007,0,0,0.006,0.196,0.094,0,0,0.12,0.054,0.001,0,0.006,0.281,0.007,0,0.03,0.036,0,0.002,0.081,0.267,0.196,0
