"image_name","site","transect","Review","boulder","brown_algae_filamentous","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_branching","red_algae_filamentous","silt","red_algae_flat_leaf","shell_hash","unknown_area","mobile_species","red_algae_bushy","sand_fine_shell","kelp_five_rib","kelp_bryozoan"
"2024_10_08_10-14-38.jpg","Centennial_Park","2",0.22,0.04,0.02,0.1,0.16,0.18,0.12,0.02,0.12,0.02,0,0,0,0,0,0,0,0
"2024_10_08_10-14-47.jpg","Centennial_Park","2",0.14,0.04,0,0.02,0.14,0.26,0.14,0.02,0,0.1,0.1,0.02,0.02,0,0,0,0,0
"2024_10_08_10-14-56.jpg","Centennial_Park","2",0.12,0.02,0,0.04,0.1,0.24,0.34,0,0,0.1,0,0,0.04,0,0,0,0,0
"2024_10_08_10-15-05.jpg","Centennial_Park","2",0.06,0.08,0,0.04,0.12,0.12,0.5,0,0,0,0,0,0.04,0.04,0,0,0,0
"2024_10_08_10-15-14.jpg","Centennial_Park","2",0.1,0.04,0,0.04,0,0,0.6,0,0.1,0.02,0.08,0,0.02,0,0,0,0,0
"2024_10_08_10-15-23.jpg","Centennial_Park","2",0.2,0.06,0.02,0.12,0.04,0.16,0.24,0,0.04,0,0.02,0.02,0.02,0.06,0,0,0,0
"2024_10_08_10-15-32.jpg","Centennial_Park","2",0.14,0.02,0,0.04,0.16,0,0.54,0,0,0,0.02,0.02,0,0.02,0.04,0,0,0
"2024_10_08_10-15-41.jpg","Centennial_Park","2",0.16,0.02,0,0.06,0.02,0,0.7,0,0,0.02,0,0,0,0,0,0.02,0,0
"2024_10_08_10-15-50.jpg","Centennial_Park","2",0.16,0.02,0.04,0.2,0,0,0.42,0,0,0.08,0,0.02,0.06,0,0,0,0,0
"2024_10_08_10-15-59.jpg","Centennial_Park","2",0.12,0,0,0.04,0,0.04,0.7,0.02,0,0.04,0.02,0,0.02,0,0,0,0,0
"2024_10_08_10-16-08.jpg","Centennial_Park","2",0.08,0,0,0,0,0.04,0.74,0,0,0,0,0,0.14,0,0,0,0,0
"2024_10_08_10-16-17.jpg","Centennial_Park","2",0.06,0,0,0,0.04,0,0.7,0,0,0.1,0,0,0.08,0.02,0,0,0,0
"2024_10_08_10-16-26.jpg","Centennial_Park","2",0.14,0,0.02,0,0.04,0,0.6,0,0,0.14,0,0,0.06,0,0,0,0,0
"2024_10_08_10-16-35.jpg","Centennial_Park","2",0.2,0,0,0,0,0,0.4,0,0,0.36,0,0,0.02,0.02,0,0,0,0
"2024_10_08_10-16-44.jpg","Centennial_Park","2",0.06,0.02,0.02,0,0,0,0.34,0,0,0.44,0,0,0.1,0,0,0.02,0,0
"2024_10_08_10-16-53.jpg","Centennial_Park","2",0.14,0,0,0,0.02,0,0.28,0,0,0.46,0,0,0.06,0.04,0,0,0,0
"2024_10_08_10-17-02.jpg","Centennial_Park","2",0.14,0,0,0,0,0,0.36,0,0.02,0.4,0.02,0,0.02,0.04,0,0,0,0
"2024_10_08_10-17-11.jpg","Centennial_Park","2",0.12,0,0,0,0,0,0.32,0,0.02,0.4,0.02,0,0.1,0,0,0.02,0,0
"2024_10_08_10-17-21.jpg","Centennial_Park","2",0.16,0,0,0.02,0,0.04,0.24,0.02,0,0.4,0.04,0,0.04,0.04,0,0,0,0
