site,transect,stipes,bundles
1,1,18,2
1,2,20,4
1,3,39,7
1,4,49,11
2,2,6,0
2,1,0,0
2,3,69,13
2,4,109,18
3,1,0,0
3,2,1,0
3,3,48,9
3,4,161,31
4,1,1,0
4,2,0,0
4,3,61,7
4,4,122,27
5,1,39,5
5,2,3,0
5,3,28,5
5,4,73,10
6,1,123,12
6,2,87,12
6,3,137,21
6,4,69,15
7,1,53,6
7,2,1,0
7,3,62,9
7,4,30,5
8,1,7,1
8,2,7,0
8,3,7,0
8,4,8,1
