"sum","data_pts","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,98,"1_1","1","1","2022_10_06_13-50-40_344.jpg",0.06,0.08,0.04,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.02,0,0
0.99,89,"1_1","1","1","2022_10_06_13-50-40_232.jpg",0.06,0.17,0.04,0.02,0,0,0,0,0,0,0.67,0.03,0,0,0,0,0,0,0
1,96,"1_1","1","1","2022_10_06_13-50-40_248.jpg",0.01,0.07,0.04,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
0.99,95,"1_1","1","1","2022_10_06_13-50-40_192.jpg",0.01,0.02,0.08,0,0,0,0.06,0,0,0,0.77,0.02,0,0.03,0,0,0,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_384.jpg",0.01,0.08,0.02,0.08,0,0,0.01,0,0,0,0.67,0.01,0.11,0,0,0,0.01,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_64.jpg",0.02,0.13,0.01,0.04,0,0,0.07,0,0,0,0.65,0,0.08,0,0,0,0,0,0
0.99,96,"1_1","1","1","2022_10_06_13-50-40_16.jpg",0.07,0.14,0.05,0.04,0,0,0.02,0,0,0,0.54,0.01,0.1,0,0,0,0.02,0,0
0.99,96,"1_1","1","1","2022_10_06_13-50-40_88.jpg",0.01,0.07,0.01,0.01,0.01,0,0.01,0,0,0,0.79,0.07,0,0,0,0,0.01,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_408.jpg",0.06,0.1,0.01,0.03,0.03,0,0.04,0,0,0,0.72,0,0,0,0,0,0.01,0,0
0.99,67,"1_1","1","1","2022_10_06_13-50-40_200.jpg",0,0.01,0.09,0.01,0,0,0.1,0,0,0,0.78,0,0,0,0,0,0,0,0
1,100,"1_1","1","1","2022_10_06_13-50-40_448.jpg",0.04,0.01,0,0,0.02,0,0,0,0,0,0.92,0,0,0,0,0,0.01,0,0
1,94,"1_1","1","1","2022_10_06_13-50-40_392.jpg",0,0.15,0,0,0,0,0.03,0,0,0,0.82,0,0,0,0,0,0,0,0
1.01,85,"1_1","1","1","2022_10_06_13-50-40_184.jpg",0,0.04,0.06,0.01,0,0,0.06,0,0,0,0.75,0.04,0,0,0.04,0,0.01,0,0
1,93,"1_1","1","1","2022_10_06_13-50-40_352.jpg",0.02,0.03,0.04,0,0,0,0.02,0,0,0,0.8,0.09,0,0,0,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_304.jpg",0.01,0,0,0.01,0.02,0,0.09,0,0,0,0.86,0,0,0,0,0,0,0,0.01
0.99,88,"1_2","1","2","2022_10_06_14-05-43_80.jpg",0.01,0.11,0.01,0.01,0,0,0.11,0,0,0,0.69,0.05,0,0,0,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_408.jpg",0,0.02,0,0,0,0,0,0,0,0,0.92,0,0,0,0.06,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_120.jpg",0.01,0.01,0.09,0.01,0,0,0.07,0,0,0,0.79,0.02,0,0,0,0,0,0,0
0.99,90,"1_2","1","2","2022_10_06_14-05-43_176.jpg",0,0.22,0.09,0.02,0,0,0.01,0,0,0,0.61,0.01,0,0,0.01,0,0.02,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_0.jpg",0,0.1,0.02,0.04,0,0,0,0,0,0,0.53,0,0.25,0,0,0,0.06,0,0
0.99,88,"1_2","1","2","2022_10_06_14-05-43_328.jpg",0,0.08,0,0.01,0,0,0.02,0,0,0,0.83,0.01,0,0,0.02,0,0.02,0,0
0.99,90,"1_2","1","2","2022_10_06_14-05-43_152.jpg",0,0.02,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0.02,0.04,0,0
1,98,"1_2","1","2","2022_10_06_14-05-43_144.jpg",0,0.03,0.02,0,0,0,0.01,0,0,0,0.94,0,0,0,0,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_32.jpg",0,0.21,0.01,0.02,0,0,0.33,0,0,0,0.39,0.01,0,0,0,0,0.03,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_136.jpg",0.01,0.14,0,0,0,0,0.01,0,0,0,0.82,0,0.01,0,0,0,0.01,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_344.jpg",0,0.06,0.03,0.08,0,0,0.01,0,0,0,0.74,0.04,0,0,0.03,0,0.01,0,0
0.99,98,"1_2","1","2","2022_10_06_14-05-43_256.jpg",0.12,0.16,0.06,0.01,0,0,0.05,0,0,0,0.54,0,0,0,0,0,0.05,0,0
1,81,"1_2","1","2","2022_10_06_14-05-43_16.jpg",0.04,0.14,0.07,0.01,0,0,0.1,0,0,0,0.62,0,0,0,0,0,0.02,0,0
0.99,89,"1_2","1","2","2022_10_06_14-05-43_200.jpg",0.01,0.17,0,0,0,0,0.01,0,0,0,0.75,0.02,0,0,0.02,0,0.01,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_320.jpg",0,0.05,0,0.03,0,0,0.03,0,0,0,0.86,0,0,0,0,0,0.03,0,0
