"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"1_1","1","1","2022_10_06_13-50-40_72.jpg",0,19,8,5,0,0,1,0,0,0,59,8,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_384.jpg",1,8,2,8,0,0,1,0,0,0,67,1,11,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_400.jpg",0,3,0,0,0,0,21,0,0,0,70,0,0,0,0,0,6,0,0
"1_1","1","1","2022_10_06_13-50-40_328.jpg",3,13,0,1,0,0,4,0,0,0,75,1,0,0,0,0,2,0,0
"1_1","1","1","2022_10_06_13-50-40_88.jpg",1,7,1,1,1,0,1,0,0,0,76,7,0,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_48.jpg",8,20,8,5,0,0,8,0,0,0,43,2,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_280.jpg",0,4,2,0,0,0,0,1,0,0,47,0,13,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_416.jpg",0,21,0,1,5,0,4,0,0,0,66,2,0,0,1,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_456.jpg",0,1,0,0,0,0,1,0,0,0,97,0,0,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_392.jpg",0,14,0,0,0,0,3,0,0,0,77,0,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_200.jpg",0,1,6,1,0,0,7,0,0,0,52,0,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_352.jpg",2,3,4,0,0,0,2,0,0,0,74,8,0,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_264.jpg",2,6,3,0,0,0,4,0,0,0,49,2,29,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_368.jpg",1,13,14,3,0,0,1,0,0,0,48,2,1,0,0,0,1,0,0
"1_1","1","1","2022_10_06_13-50-40_272.jpg",4,2,0,0,0,0,1,0,0,0,34,0,4,0,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_480.jpg",2,8,2,0,0,0,0,0,0,0,84,3,0,0,1,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_56.jpg",4,15,4,4,0,0,3,0,0,0,68,1,0,0,0,0,1,0,0
