"category","total_annotations"
"total_annotations",96186
"sugar_kelp",22341
"textured_kelp",16045
"red_algae",9597
"shell_debris",9181
"unknown",8593
"pebble",8452
"soft_sediment",5865
"hard_substrate",5157
"green_algae",3821
"cobble",3779
"filamentous_brown",1103
"sargassum",1014
"coralline_algae",521
"mobile_invert",212
"kelp_bryozoan",207
"anthro_substrate",135
"other_brown_kelp",87
"sessile_invert",76
