"category","total_annotations"
"total_annotations",86090
"sugar_kelp",19482
"textured_kelp",13683
"shell_debris",8416
"red_algae",8208
"unknown",8123
"pebble",8022
"soft_sediment",5280
"hard_substrate",4797
"green_algae",3556
"cobble",3383
"filamentous_brown",1033
"sargassum",988
"coralline_algae",493
"mobile_invert",202
"kelp_bryozoan",162
"anthro_substrate",121
"other_brown_kelp",87
"sessile_invert",54
