Source_file,Name,Date,Time,Site_name,Transect_number,Transect_ID,Mode_num,Mode,Battery_V,Battery_A,Battery_W,Battery_mAh_used,Battery_Wh_used,Latitude,Longitude,EKFlat,EKFlon,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_std,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz,VFR_alt,BR_encrust,BR_filam,BR_fucus,BR_sarg,GR_filam,GR_ulva,KE_5rib,KE_bull,KE_holdfas,KE_sieve,KE_stipe,KE_sugar,MS,RE_CCA,RE_branch,RE_bush,RE_encrust,RE_fil,RE_leaf,SI,SI_kelpBry,SU_anth,SU_bould,SU_cob,SU_peb,SU_sand,SU_shell,SU_silt,SU_wood,unknown
CNL_S24,2024_10_08_10-07-41.jpg,10/8/2024,10:07:41,Centennial Park,1,CNL_S24_T1,0,STABILIZE,13.65264634,1.379146341,18.82694573,0,0,47.6190932,-122.3624258,47.6190971,-122.3624071,0,0,47.6190932,-122.3624258,1.017256055,-9.519999504,-7.416526347,VFR_alt,354.6972486,0.029183821,1.772491611,2.268969543,0,9.697463989,-9.519999504,0,0,0,0,0,0.06,0,0,0,0,0.02,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.14,0,0
CNL_S24,2024_10_08_10-07-50.jpg,10/8/2024,10:07:50,Centennial Park,1,CNL_S24_T1,0,STABILIZE,13.66343558,1.242392638,16.9753362,5,0.055555556,47.6190908,-122.3624442,47.6190969,-122.3624161,-0.02875042,-0.678201675,47.61909294,-122.3624348,0.681165624,-9.880000114,-7.441900487,VFR_alt,345.8831799,0.031733709,1.186879496,1.016917746,0.095744932,10.05552769,-9.880000114,0,0,0,0,0,0.02,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.02,0,0.16,0,0
CNL_S24,2024_10_08_10-07-59.jpg,10/8/2024,10:07:59,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.6576988,1.373373494,18.75632566,8,0.111111111,47.6190852,-122.362463,47.6190965,-122.3624276,-0.065179825,-1.538064957,47.61909261,-122.3624463,0.848493942,-9.729999542,-7.460388419,VFR_alt,346.7265159,0.037561464,1.478436413,1.577721463,0.111131033,9.90764904,-9.729999542,0,0,0,0,0,0.02,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.04,0.42,0.02,0,0.06,0,0
CNL_S24,2024_10_08_10-08-08.jpg,10/8/2024,10:08:08,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.61666061,2.417757576,32.9204963,15,0.194444444,47.6190864,-122.3624715,47.6190962,-122.3624323,-0.103785515,-1.89235878,47.61909233,-122.362451,0.60987877,-9.800000191,-7.292539815,VFR_alt,331.6967176,0.064562281,1.062667553,0.815303696,0.053945339,9.96980381,-9.800000191,0,0,0,0,0,0.08,0,0,0.02,0,0.02,0.24,0,0,0,0.02,0,0,0,0,0,0,0,0,0.34,0.06,0,0.22,0,0
CNL_S24,2024_10_08_10-08-17.jpg,10/8/2024,10:08:17,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.63069753,1.702407407,23.19795809,19,0.25,47.6190916,-122.3624746,47.6190967,-122.3624453,-0.045682907,-2.867062569,47.61909285,-122.362464,0.840061702,-9.609999657,-7.333153143,VFR_alt,319.8273425,0.054846716,1.463743875,1.546631248,0.101253924,9.782694817,-9.609999657,0,0,0,0,0,0.06,0,0,0,0,0,0.34,0.04,0,0,0,0,0,0.02,0,0,0,0,0.06,0.32,0.02,0,0.14,0,0
CNL_S24,2024_10_08_10-08-26.jpg,10/8/2024,10:08:26,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.66368098,1.304969325,17.83063828,22,0.305555556,47.6190912,-122.3624774,47.6190979,-122.3624566,0.090802193,-3.717727661,47.61909408,-122.3624753,0.690981592,-9.739999771,-7.314280432,VFR_alt,326.5178464,0.046132403,1.203983077,1.046234577,0.089345971,9.914942741,-9.739999771,0,0,0,0,0,0.1,0,0,0,0,0,0.18,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0.44,0.04,0,0.14,0,0
CNL_S24,2024_10_08_10-08-35.jpg,10/8/2024,10:08:35,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.62968323,1.865900621,25.43154441,26,0.361111111,47.6190914,-122.3624744,47.6191003,-122.362466,0.362900734,-4.425614357,47.61909653,-122.3624847,0.877701855,-9.590000153,-7.351096114,VFR_alt,326.9436493,0.062075911,1.52932899,1.688383889,0.068684108,9.765630722,-9.590000153,0,0.02,0,0,0,0.06,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.04,0.48,0,0,0.12,0,0
CNL_S24,2024_10_08_10-08-44.jpg,10/8/2024,10:08:44,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.64668098,1.299141104,17.72853411,29,0.416666667,47.619097,-122.3624682,47.6191019,-122.3624717,0.543018341,-4.852114677,47.61909815,-122.3624904,0.769202436,-9.599999428,-7.252690156,VFR_alt,325.02408,0.056129171,1.340276971,1.296877685,0.03170244,9.775119781,-9.599999428,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.02,0,0.02,0,0,0.04,0,0,0,0.64,0,0,0.12,0,0
CNL_S24,2024_10_08_10-08-53.jpg,10/8/2024,10:08:53,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.61905521,1.846196319,25.14425117,34,0.472222222,47.6190957,-122.3624639,47.6191045,-122.3624743,0.823647499,-5.044939995,47.61910067,-122.362493,0.663006107,-9.819999695,-7.366698828,VFR_alt,307.7532824,0.091889261,1.155237914,0.96362915,0.051323958,9.988926888,-9.819999695,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.04,0.66,0.14,0,0.1,0,0
CNL_S24,2024_10_08_10-09-02.jpg,10/8/2024,10:09:02,Centennial Park,1,CNL_S24_T1,21,SURFTRAK,13.63342169,1.618373494,22.06396476,38,0.527777778,47.6191164,-122.3624521,47.6191111,-122.362476,1.564702988,-5.174449921,47.61910734,-122.3624947,0.748915664,-9.670000076,-7.303035008,VFR_alt,312.6531934,0.104139792,1.304928808,1.229026863,0.098533657,9.846647263,-9.670000076,0,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0.02,0.76,0.06,0,0.06,0,0
