"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,26,"1_1",1,1,"2022_10_06_13-50-40_280.jpg",0,0.04,0.02,0,0,0,0,0.01,0,0,0.47,0,0.13,0,0,0,0,0,0
1,7,"1_1",1,1,"2022_10_06_13-50-40_144.jpg",0.07,0.06,0.04,0.01,0,0,0,0,0,0,0.67,0.01,0,0,0.03,0,0.01,0,0
1,42,"1_1",1,1,"2022_10_06_13-50-40_40.jpg",0.01,0.11,0.02,0.03,0.03,0,0.1,0,0,0,0.7,0,0,0,0,0,0,0,0
1,5,"1_1",1,1,"2022_10_06_13-50-40_128.jpg",0.06,0.2,0.05,0,0,0,0,0,0,0,0.53,0.03,0.02,0,0.02,0,0,0,0
1,34,"1_1",1,1,"2022_10_06_13-50-40_336.jpg",0.06,0.06,0.03,0.01,0,0,0.06,0,0,0,0.65,0,0.05,0,0,0,0,0,0
1,36,"1_1",1,1,"2022_10_06_13-50-40_352.jpg",0.02,0.03,0.04,0,0,0,0.02,0,0,0,0.74,0.08,0,0,0,0,0,0,0
1,28,"1_1",1,1,"2022_10_06_13-50-40_296.jpg",0.02,0.06,0.02,0,0,0,0.05,0,0,0,0.74,0,0,0,0,0,0.01,0,0
1,35,"1_1",1,1,"2022_10_06_13-50-40_344.jpg",0.06,0.08,0.04,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0.02,0,0
1,54,"1_1",1,1,"2022_10_06_13-50-40_480.jpg",0.02,0.08,0.02,0,0,0,0,0,0,0,0.84,0.03,0,0,0.01,0,0,0,0
1,6,"1_1",1,1,"2022_10_06_13-50-40_136.jpg",0.08,0.16,0.04,0,0,0,0,0,0,0,0.67,0.01,0,0,0,0,0,0,0
1,9,"1_1",1,1,"2022_10_06_13-50-40_16.jpg",0.07,0.13,0.05,0.04,0,0,0.02,0,0,0,0.52,0.01,0.1,0,0,0,0.02,0,0
1,10,"1_1",1,1,"2022_10_06_13-50-40_160.jpg",0.03,0.07,0.05,0.01,0,0,0,0,0,0,0.8,0.01,0,0,0,0,0.01,0,0
1,50,"1_1",1,1,"2022_10_06_13-50-40_456.jpg",0,0.01,0,0,0,0,0.01,0,0,0,0.97,0,0,0,0,0,0.01,0,0
1,57,"1_1",1,1,"2022_10_06_13-50-40_64.jpg",0.02,0.13,0.01,0.04,0,0,0.07,0,0,0,0.65,0,0.08,0,0,0,0,0,0
1,55,"1_1",1,1,"2022_10_06_13-50-40_488.jpg",0,0.03,0,0.06,0,0,0.01,0,0,0,0.82,0.08,0,0,0,0,0,0,0
1,18,"1_1",1,1,"2022_10_06_13-50-40_224.jpg",0.03,0.11,0.03,0.04,0,0,0,0,0,0,0.66,0.06,0,0,0,0,0,0,0
1,56,"1_1",1,1,"2022_10_06_13-50-40_56.jpg",0.04,0.15,0.04,0.04,0,0,0.03,0,0,0,0.68,0.01,0,0,0,0,0.01,0,0
1,19,"1_1",1,1,"2022_10_06_13-50-40_232.jpg",0.05,0.15,0.04,0.02,0,0,0,0,0,0,0.6,0.03,0,0,0,0,0,0,0
1,41,"1_1",1,1,"2022_10_06_13-50-40_392.jpg",0,0.14,0,0,0,0,0.03,0,0,0,0.77,0,0,0,0,0,0,0,0
1,76,"1_2",1,2,"2022_10_06_14-05-43_192.jpg",0,0.2,0,0.01,0,0,0.03,0,0,0,0.59,0.11,0,0,0.01,0,0.02,0,0
1,79,"1_2",1,2,"2022_10_06_14-05-43_216.jpg",0.02,0.13,0.06,0,0,0,0.06,0,0,0,0.65,0.01,0,0,0,0,0,0,0
1,63,"1_2",1,2,"2022_10_06_14-05-43_0.jpg",0,0.1,0.02,0.04,0,0,0,0,0,0,0.53,0,0.25,0,0,0,0.06,0,0
1,102,"1_2",1,2,"2022_10_06_14-05-43_384.jpg",0,0.08,0,0,0,0,0,0,0,0,0.86,0,0,0,0.04,0,0.02,0,0
1,80,"1_2",1,2,"2022_10_06_14-05-43_224.jpg",0,0.04,0.13,0.05,0,0,0.04,0,0,0,0.68,0.01,0,0,0,0,0,0,0
1,95,"1_2",1,2,"2022_10_06_14-05-43_328.jpg",0,0.07,0,0.01,0,0,0.02,0,0,0,0.73,0.01,0,0,0.02,0,0.02,0,0
1,86,"1_2",1,2,"2022_10_06_14-05-43_264.jpg",0.12,0.17,0.08,0,0,0,0.04,0,0,0,0.56,0.02,0,0,0,0,0,0,0
1,93,"1_2",1,2,"2022_10_06_14-05-43_32.jpg",0,0.21,0.01,0.02,0,0,0.33,0,0,0,0.39,0.01,0,0,0,0,0.03,0,0
1,97,"1_2",1,2,"2022_10_06_14-05-43_344.jpg",0,0.06,0.03,0.08,0,0,0.01,0,0,0,0.74,0.04,0,0,0.03,0,0.01,0,0
1,82,"1_2",1,2,"2022_10_06_14-05-43_24.jpg",0,0.15,0.04,0.04,0,0,0.07,0,0,0,0.49,0.01,0,0,0,0,0,0,0
1,81,"1_2",1,2,"2022_10_06_14-05-43_232.jpg",0.01,0.04,0.01,0.02,0,0,0.03,0,0,0,0.88,0,0,0,0.01,0,0,0,0
1,77,"1_2",1,2,"2022_10_06_14-05-43_200.jpg",0.01,0.15,0,0,0,0,0.01,0,0,0,0.67,0.02,0,0,0.02,0,0.01,0,0
1,67,"1_2",1,2,"2022_10_06_14-05-43_128.jpg",0,0.02,0.11,0,0,0,0.01,0,0,0,0.66,0.01,0.19,0,0,0,0,0,0
1,112,"1_2",1,2,"2022_10_06_14-05-43_64.jpg",0.02,0.03,0.02,0,0,0,0.09,0,0,0,0.71,0,0,0,0,0,0,0,0
1,117,"1_2",1,2,"2022_10_06_14-05-43_96.jpg",0.01,0.23,0.01,0.01,0,0,0.01,0,0,0,0.56,0.01,0.05,0,0,0,0.02,0,0
1,103,"1_2",1,2,"2022_10_06_14-05-43_392.jpg",0,0.08,0,0,0,0,0,0,0,0,0.88,0.02,0,0,0.02,0,0,0,0
1,75,"1_2",1,2,"2022_10_06_14-05-43_184.jpg",0.01,0.1,0,0,0,0,0,0,0,0,0.78,0.01,0.08,0,0,0,0,0,0
1,87,"1_2",1,2,"2022_10_06_14-05-43_272.jpg",0.06,0.15,0.04,0.01,0,0,0.05,0,0,0,0.6,0.03,0,0,0.02,0,0.04,0,0
1,71,"1_2",1,2,"2022_10_06_14-05-43_16.jpg",0.03,0.11,0.06,0.01,0,0,0.08,0,0,0,0.5,0,0,0,0,0,0.02,0,0
