"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,18,"1_1","1","1","2022_10_06_13-50-40_224.jpg",-0.822284914643143,-0.293193644180468,3,11,3,4,0,0,0,0,0,0,66,6,0,0,0,0,0,0,0
1,2,"1_1","1","1","2022_10_06_13-50-40_104.jpg",-0.772448514866733,-0.299406976875263,5,8,6,4,0,0,1,0,0,0,61,2,0,0,0,0,3,0,1
1,38,"1_1","1","1","2022_10_06_13-50-40_368.jpg",-0.750559157402637,-0.223817249142032,1,13,14,3,0,0,1,0,0,0,48,2,1,0,0,0,1,0,0
1,11,"1_1","1","1","2022_10_06_13-50-40_168.jpg",-0.785947617756648,-0.417165417313397,3,13,3,0,0,0,0,0,0,0,75,1,0,0,3,0,1,0,0
1,23,"1_1","1","1","2022_10_06_13-50-40_256.jpg",-0.941371085488687,-0.533661374269933,0,6,2,0,0,0,2,0,0,0,87,0,0,0,0,0,2,0,0
1,31,"1_1","1","1","2022_10_06_13-50-40_32.jpg",-0.677607378067958,-0.260206884481154,1,19,1,2,0,0,9,0,0,0,59,2,0,0,1,0,1,0,0
1,53,"1_1","1","1","2022_10_06_13-50-40_48.jpg",-0.546270443882409,-0.0975717084869081,8,20,8,5,0,0,8,0,0,0,43,2,0,0,0,0,0,0,0
1,26,"1_1","1","1","2022_10_06_13-50-40_280.jpg",-0.494211023646476,-0.662959605141618,0,4,2,0,0,0,0,1,0,0,47,0,13,0,0,0,0,0,0
1,57,"1_1","1","1","2022_10_06_13-50-40_64.jpg",-0.535662756366657,-0.40306846414096,2,13,1,4,0,0,7,0,0,0,65,0,8,0,0,0,0,0,0
1,19,"1_1","1","1","2022_10_06_13-50-40_232.jpg",-0.774448367863604,-0.295281621369578,5,15,4,2,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0
1,29,"1_1","1","1","2022_10_06_13-50-40_304.jpg",-0.986388731398317,-0.539900672358754,0,7,0,0,0,0,1,0,0,0,81,0,0,0,0,0,0,0,0
1,10,"1_1","1","1","2022_10_06_13-50-40_160.jpg",-0.893001819509363,-0.447094992893136,3,7,5,1,0,0,0,0,0,0,80,1,0,0,0,0,1,0,0
1,6,"1_1","1","1","2022_10_06_13-50-40_136.jpg",-0.785004719371352,-0.374096725311186,8,16,4,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0
1,30,"1_1","1","1","2022_10_06_13-50-40_312.jpg",-0.759896305175807,-0.396852063036901,3,12,3,1,0,0,5,0,0,0,74,0,0,0,0,0,1,0,0
1,4,"1_1","1","1","2022_10_06_13-50-40_120.jpg",-0.861891772394227,-0.331995385130114,0,11,8,3,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0
1,22,"1_1","1","1","2022_10_06_13-50-40_248.jpg",-0.951811794860117,-0.511672952692068,1,7,4,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
1,69,"1_2","1","2","2022_10_06_14-05-43_144.jpg",-1.0152516573291,-0.576563380658578,0,3,2,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0
