category_label,total annotations
total_annotations,112588
sugar_kelp,27418
textured_kelp,15319
unknown,11301
red_algae,11004
shell_debris,10996
pebble,10369
soft_sediment,6904
green_algae,5454
hard_substrate,5143
cobble,4498
sargassum,1600
filamentous_brown,1143
coralline_algae,621
mobile_invert,230
kelp_bryozoan,225
anthro_substrate,133
other_brown_kelp,98
sessile_invert,84
kelp_holdfast,37
smooth_kelp,11
