"category","total_annotations"
"total_annotations",90000
"sugar_KE",19482
"coland_KE",12007
"shell_SU",8345
"UNIdent",8123
"peb_SU",8022
"SS_SU",5280
"leaf_RE",5037
"bould_SU",4078
"ulva_GR",3556
"cob_SU",3383
"unk_BR",1680
"X5rib_KE",1662
"bullBL_KE",1430
"filam_RE",1253
"filam_BR",1033
"sargass_BR",988
"branch_RE",957
"reef_SU",683
"bushy_RE",640
"senes_AL",506
"crust_CA",474
"unk_RE",321
"KelpBry_SI",162
"bullST_KE",140
"senes_RE",123
"crab_MS",85
"ribbn_KE",81
"SStar_MS",77
"lgshell_SU",71
"anth_SU",56
"wood_SU",49
"concr_SU",36
"fish_MS",28
"anem_SI",24
"holdfas_BR",20
"art_CA",19
"encru_SI",18
"metal_SU",16
"cabb_KE",14
"CaCuc_MS",8
"fucus_BR",8
"HydBry_SI",6
"stalk_KE",5
"CucEmb_SI",4
"gastro_MS",4
"scallop_SI",2
"surf_SG",2
"cord_KE",1
"eel_SG",1
"cup_SI",0
"bivalve_SI",0
"SponSol_SI",0
"TunSol_SI",0
"urchin_MS",0
"glass_SU",0
"poly_SU",0
"X3rib_KE",0
"broad_KE",0
"DiRet_KE",0
"feath_KE",0
"FlatAci_BR",0
"giant_KE",0
"LaEph_KE",0
"LaLoSi_KE",0
"palm_KE",0
"split_KE",0
"strap_KE",0
"StriAci_BR",0
"undaria_BR",0
