"category","total_annotations"
"total_annotations",101100
"sugar_KE",22341
"coland_KE",14179
"shell_SU",9110
"UNIdent",8593
"peb_SU",8452
"leaf_RE",6203
"SS_SU",5865
"bould_SU",4358
"ulva_GR",3821
"cob_SU",3779
"bullBL_KE",1986
"unk_BR",1986
"X5rib_KE",1852
"filam_RE",1331
"filam_BR",1103
"branch_RE",1042
"sargass_BR",1014
"reef_SU",763
"bushy_RE",666
"senes_AL",592
"crust_CA",494
"unk_RE",355
"KelpBry_SI",207
"bullST_KE",174
"senes_RE",123
"crab_MS",93
"ribbn_KE",81
"SStar_MS",79
"lgshell_SU",71
"anth_SU",60
"wood_SU",59
"concr_SU",36
"holdfas_BR",36
"fish_MS",28
"art_CA",27
"anem_SI",26
"encru_SI",26
"metal_SU",16
"cabb_KE",14
"fucus_BR",14
"HydBry_SI",10
"CaCuc_MS",8
"SponSol_SI",8
"stalk_KE",5
"CucEmb_SI",4
"gastro_MS",4
"scallop_SI",2
"surf_SG",2
"cord_KE",1
"eel_SG",1
"cup_SI",0
"bivalve_SI",0
"TunSol_SI",0
"urchin_MS",0
"glass_SU",0
"poly_SU",0
"X3rib_KE",0
"broad_KE",0
"DiRet_KE",0
"feath_KE",0
"FlatAci_BR",0
"giant_KE",0
"LaEph_KE",0
"LaLoSi_KE",0
"palm_KE",0
"split_KE",0
"strap_KE",0
"StriAci_BR",0
"undaria_BR",0
