Transect_key,Date,Time,Latitude,Longitude,DVLx,DVLy,DVLlat,DVLlon,Altitude,Depth,Depth_Source,Heading,Velocity_mps,Width,Area_m2,Distance,NEDz
S_1,8/13/2025,12:18:16,47.619474599999997,-122.3636951,0,0,47.619474599999997,-122.3636951,0.923657135,-15.99816418,NEDz,95.193332000220323,0.019319149,1.609402583610444,1.869670511860910,0,15.998164176940918
S_1,8/13/2025,12:18:17,47.619473999999997,-122.3636929,-0.011488914,0.075500488,47.619474496666541,-122.3636941,0.930449438,-15.99957848,NEDz,92.180116771788718,0.090927959,1.621237657520285,1.897086107803988,0.07636962,15.999578475952148
S_1,8/13/2025,12:18:18,47.619472700000003,-122.3636897,-0.041772842,0.146793365,47.619474224287210,-122.3636931,0.918728304,-16.0033493,NEDz,89.412747735267445,0.055679257,1.600814469173002,1.849720170603184,0.077458315,16.003349304199219
S_1,8/13/2025,12:18:19,47.619471400000002,-122.3636879,-0.073955536,0.202888489,47.619473934830033,-122.3636924,0.913837172,-16.00122643,NEDz,89.343677237486204,0.057860479,1.592292042581696,1.829944841905890,0.064671389,16.001226425170898
S_1,8/13/2025,12:18:20,47.619470900000003,-122.3636888,-0.107168198,0.285636902,47.619473636109113,-122.3636913,0.91479765,-15.9974165,NEDz,89.891565631597928,0.081771289,1.593965602111100,1.833796310789575,0.089164908,15.997416496276855
S_1,8/13/2025,12:18:21,47.619471300000001,-122.363687,-0.133473396,0.373691559,47.619473399515222,-122.3636901,0.916300539,-15.98675346,NEDz,90.390559946217337,0.085060463,1.596584271885591,1.839822821932988,0.09189987,15.986753463745115
S_1,8/13/2025,12:18:22,47.619471300000001,-122.363687,-0.15775013,0.460395813,47.619473181165723,-122.363689,0.919595355,-15.97572136,NEDz,90.784114380210198,0.087229751,1.602325238996097,1.853191934727498,0.090038811,15.975721359252930
S_1,8/13/2025,12:18:23,47.619477000000003,-122.363689,-0.187931061,0.549476624,47.619472909712769,-122.3636878,0.928381502,-15.96664047,NEDz,91.006511419638642,0.092079585,1.617634435197187,1.888634218974760,0.094054662,15.966640472412109
S_1,8/13/2025,12:18:24,47.619475700000002,-122.3636867,-0.21906662,0.645809174,47.619472629673702,-122.3636865,0.931011242,-15.95797443,NEDz,91.259611141306380,0.097323944,1.622216558279860,1.899338914615253,0.101239238,15.957974433898926
S_1,8/13/2025,12:18:25,47.619475399999999,-122.3636852,-0.246046066,0.739849091,47.619472387015492,-122.3636853,0.936086958,-15.94934559,NEDz,91.210620444505281,0.093429177,1.631060608408666,1.920137172554536,0.097833514,15.949345588684082
S_1,8/13/2025,12:18:26,47.619475399999999,-122.3636838,-0.263563156,0.827114105,47.619472229463490,-122.3636841,0.936424582,-15.93990421,NEDz,91.612972091229096,0.090545447,1.631648892933128,1.921520621664749,0.089005793,15.939904212951660
S_1,8/13/2025,12:18:27,47.619475799999996,-122.3636847,-0.28034687,0.913600922,47.619472078507613,-122.3636829,0.932471269,-15.93190384,NEDz,91.868488170505785,0.087746219,1.624760544754744,1.905321522823944,0.088100298,15.931903839111328
S_1,8/13/2025,12:18:28,47.619475700000002,-122.3636806,-0.304304123,0.995883942,47.619471863031592,-122.3636819,0.939999998,-15.92673206,NEDz,91.886208532978443,0.086355358,1.637878783724525,1.936171248213212,0.085699739,15.926732063293455
S_1,8/13/2025,12:18:29,47.619480500000002,-122.3636869,-0.33164978,1.076259613037109,47.619471617079597,-122.3636808,0.939999998,-15.92477798,NEDz,91.904966249077674,0.085190459,1.637878783724525,1.936171248213212,0.084900139,15.924777984619141
S_1,8/13/2025,12:18:30,47.619483899999999,-122.3636859,-0.360167503,1.161449432373047,47.619471360585848,-122.3636796,0.938908045,-15.92777729,NEDz,92.158733722698841,0.089162145,1.635976138377763,1.931696860561332,0.089836328,15.927777290344238
S_1,8/13/2025,12:18:31,47.619483799999998,-122.363685,-0.383321762,1.253978729248047,47.619471152332096,-122.3636784,0.930000007,-15.92929459,NEDz,92.251795313050380,0.096367255,1.620454557917334,1.895195277085481,0.095382338,15.929294586181641
S_1,8/13/2025,12:18:32,47.619485099999999,-122.3636861,-0.406558037,1.349807739257812,47.619470943340673,-122.3636771,0.927877098,-15.92748833,NEDz,92.214634488207622,0.095897179,1.616755549236056,1.886635995301354,0.098605901,15.927488327026367
S_1,8/13/2025,12:18:33,47.619489000000002,-122.3636867,-0.430972099,1.440685272216797,47.619470723756010,-122.3636759,0.911098231,-15.92186069,NEDz,92.334468027434326,0.089741432,1.587519645743123,1.818961821821184,0.0940998,15.921860694885254
S_1,8/13/2025,12:18:34,47.619485500000003,-122.36368,-0.45999527,1.523601531982422,47.619470462716158,-122.3636748,0.920930218,-15.9138155,NEDz,92.355924445806664,0.087784794,1.604651136585026,1.858599090946558,0.087849021,15.913815498352051
S_1,8/13/2025,12:18:35,47.619485200000000,-122.3636799,-0.493041039,1.604640960693359,47.619470165496317,-122.3636738,0.92511903,-15.90755844,NEDz,92.366539457988239,0.087237079,1.611949825581450,1.875408888828955,0.087518066,15.907558441162109
S_1,8/13/2025,12:18:36,47.619484000000000,-122.3636778,-0.516356468,1.687984466552734,47.619469955792958,-122.3636726,0.921091917,-15.90435886,NEDz,92.463803964961755,0.085692011,1.604932884940995,1.859083870427228,0.086543337,15.904358863830566
S_1,8/13/2025,12:18:37,47.619484900000003,-122.3636789,-0.526689529,1.777244567871094,47.619469862855460,-122.3636715,0.92635837,-15.90200424,NEDz,92.647128227672795,0.086401714,1.614109281797008,1.880432896336357,0.089856206,15.902004241943359
S_1,8/13/2025,12:18:38,47.619486100000003,-122.3636805,-0.528196335,1.866790771484375,47.619469849302959,-122.3636703,0.925235277,-15.90352535,NEDz,92.797093658397927,0.086038448,1.612152377312831,1.875880128491879,0.08955888,15.903525352478027
S_1,8/13/2025,12:18:39,47.619487900000003,-122.3636794,-0.531123161,1.965412139892578,47.619469822978523,-122.363669,0.918786107,-15.89813709,NEDz,93.040904425668927,0.095662017,1.600915186040602,1.849946890265664,0.098664789,15.898137092590332
S_1,8/13/2025,12:18:40,47.619487300000003,-122.3636785,-0.534445763,2.060634613037109,47.619469793094417,-122.3636677,0.909830475,-15.89439392,NEDz,93.187280181526020,0.091097344,1.585310676585240,1.814044070188578,0.095280423,15.894393920898438
S_1,8/13/2025,12:18:41,47.619486700000003,-122.3636763,-0.545147896,2.150867462158203,47.619469696837413,-122.3636665,0.900173386,-15.88839626,NEDz,93.257029258953580,0.089166475,1.568483930843939,1.775635031411123,0.0908653,15.888396263122560
S_1,8/13/2025,12:18:42,47.619488500000003,-122.3636786,-0.558718681,2.242038726806641,47.619469574779217,-122.3636653,0.898685692,-15.88313007,NEDz,93.332766379525680,0.091465049,1.565891735533102,1.769741578967150,0.092175733,15.883130073547363
S_1,8/13/2025,12:18:43,47.619491099999998,-122.363679,-0.573077202,2.342578887939453,47.619469445635993,-122.3636639,0.89742855,-15.87770748,NEDz,93.110625444103178,0.099564215,1.563701261431626,1.764860774286541,0.101560283,15.877707481384276
S_1,8/13/2025,12:18:44,47.619491099999998,-122.363679,-0.59209919,2.448413848876953,47.619469274548663,-122.3636625,0.904941832,-15.86970806,NEDz,92.971709085269694,0.102487294,1.576792585904371,1.794496627980687,0.107530809,15.869708061218262
S_1,8/13/2025,12:18:45,47.619489399999999,-122.3636738,-0.602611542,2.549171447753906,47.619469179998589,-122.3636612,0.901130927,-15.85839272,NEDz,92.976533244854636,0.096494062,1.570152373605480,1.779382096736356,0.101304508,15.858392715454102
S_1,8/13/2025,12:18:46,47.619485300000001,-122.3636699,-0.612518311,2.644981384277344,47.619469090895251,-122.3636599,0.90540227,-15.84494591,NEDz,92.912593163549559,0.094170951,1.577594864144223,1.796322783377093,0.096320756,15.844945907592772
S_1,8/13/2025,12:18:47,47.619484800000002,-122.3636704,-0.623933792,2.739856719970703,47.619468988222259,-122.3636587,0.897790676,-15.83403587,NEDz,93.053051396511179,0.094372096,1.564332238379462,1.766279467247911,0.095559628,15.834035873413086
