"category","total_annotations"
"total_annotations",133977
"sugar_kelp",30177
"textured_kelp",20953
"red_algae",14033
"unknown",12490
"pebble",12431
"shell_debris",12384
"soft_sediment",7867
"hard_substrate",7037
"green_algae",6059
"cobble",5539
"sargassum",1657
"filamentous_brown",1582
"coralline_algae",758
"mobile_invert",299
"kelp_bryozoan",260
"anthro_substrate",182
"other_brown_kelp",115
"sessile_invert",105
"kelp_holdfast",49
