category,total_annotations,,,
total_annotations,96365,,,
sugar_kelp,22428,1,,
textured_kelp,15965,2,,
red_algae,9772,1,,
shell_debris,9146,1,,
unknown,8531,3,,
pebble,8403,2,,
soft_sediment,5940,3,,
hard_substrate,5017,4,,
green_algae,4160,2,,
cobble,3675,5,,
filamentous_brown,1126,4,,
sargassum,940,5,,
coralline_algae,474,3,,
kelp_bryozoan,221,4,,
mobile_invert,220,5,,
anthro_substrate,157,6,,
sessile_invert,86,6,,
other_brown_kelp,65,6,,
kelp_holdfast,39,drop,,
