,total_annotations
total_annotations,96332
sugar_kelp,22329
textured_kelp,16384
red_algae,9846
shell_debris,9202
unknown,8407
pebble,8291
soft_sediment,5791
hard_substrate,4943
green_algae,3977
cobble,3879
filamentous_brown,1037
sargassum,962
coralline_algae,529
mobile_invert,233
kelp_bryozoan,200
anthro_substrate,130
sessile_invert,85
other_brown_kelp,69
kelp_holdfast,38
