"","total_annotations"
"total_annotations",140915
"sugar_kelp",32680
"textured_kelp",21322
"red_algae",14737
"shell_debris",13493
"pebble",12996
"unknown",12745
"soft_sediment",8579
"hard_substrate",7115
"green_algae",6493
"cobble",5666
"sargassum",1688
"filamentous_brown",1600
"coralline_algae",767
"mobile_invert",308
"kelp_bryozoan",271
"anthro_substrate",184
"other_brown_kelp",115
"sessile_invert",107
"kelp_holdfast",49
