"","total_annotations"
"total_annotations",76699
"sugar_kelp",16558
"textured_kelp",13170
"red_algae",7692
"unknown",7529
"pebble",6660
"shell_debris",6489
"hard_substrate",4775
"soft_sediment",4688
"cobble",3091
"green_algae",3080
"sargassum",983
"filamentous_brown",928
"coralline_algae",457
"mobile_invert",197
"kelp_bryozoan",144
"anthro_substrate",109
"sessile_invert",68
"other_brown_kelp",63
"kelp_holdfast",18
