"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,37,"1_1","1","1","2022_10_06_13-50-40_360.jpg",0.01,0.13,0.19,0.07,0,0,0.01,0,0,0,0.48,0.02,0,0,0,0,0.02,0,0
1,38,"1_1","1","1","2022_10_06_13-50-40_368.jpg",0.01,0.13,0.14,0.03,0,0,0.01,0,0,0,0.48,0.02,0.01,0,0,0,0.01,0,0
1,39,"1_1","1","1","2022_10_06_13-50-40_376.jpg",0,0.13,0.05,0.01,0,0,0,0,0,0,0.63,0.03,0.07,0,0.01,0,0,0,0
1,40,"1_1","1","1","2022_10_06_13-50-40_384.jpg",0.01,0.08,0.02,0.08,0,0,0.01,0,0,0,0.67,0.01,0.11,0,0,0,0.01,0,0
1,41,"1_1","1","1","2022_10_06_13-50-40_392.jpg",0,0.14,0,0,0,0,0.03,0,0,0,0.77,0,0,0,0,0,0,0,0
1,42,"1_1","1","1","2022_10_06_13-50-40_40.jpg",0.01,0.11,0.02,0.03,0.03,0,0.1,0,0,0,0.7,0,0,0,0,0,0,0,0
1,43,"1_1","1","1","2022_10_06_13-50-40_400.jpg",0,0.03,0,0,0,0,0.21,0,0,0,0.7,0,0,0,0,0,0.06,0,0
1,44,"1_1","1","1","2022_10_06_13-50-40_408.jpg",0.06,0.1,0.01,0.03,0.03,0,0.04,0,0,0,0.72,0,0,0,0,0,0.01,0,0
1,45,"1_1","1","1","2022_10_06_13-50-40_416.jpg",0,0.21,0,0.01,0.05,0,0.04,0,0,0,0.66,0.02,0,0,0.01,0,0,0,0
1,46,"1_1","1","1","2022_10_06_13-50-40_424.jpg",0.09,0.04,0.04,0,0.04,0,0.06,0.06,0,0,0.44,0.03,0.03,0,0.15,0,0,0,0.02
1,47,"1_1","1","1","2022_10_06_13-50-40_432.jpg",0.03,0.05,0.01,0,0,0,0.41,0,0,0,0.28,0.01,0,0,0.2,0,0.01,0,0
1,48,"1_1","1","1","2022_10_06_13-50-40_440.jpg",0.04,0.02,0,0,0.05,0,0.01,0,0.01,0,0.77,0,0,0,0.07,0,0.01,0.02,0
1,49,"1_1","1","1","2022_10_06_13-50-40_448.jpg",0.04,0.01,0,0,0.02,0,0,0,0,0,0.92,0,0,0,0,0,0.01,0,0
1,50,"1_1","1","1","2022_10_06_13-50-40_456.jpg",0,0.01,0,0,0,0,0.01,0,0,0,0.97,0,0,0,0,0,0.01,0,0
1,51,"1_1","1","1","2022_10_06_13-50-40_464.jpg",0.01,0.06,0,0,0,0,0.01,0,0,0,0.92,0,0,0,0,0,0,0,0
1,52,"1_1","1","1","2022_10_06_13-50-40_472.jpg",0.01,0.01,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
1,53,"1_1","1","1","2022_10_06_13-50-40_48.jpg",0.08,0.2,0.08,0.05,0,0,0.08,0,0,0,0.43,0.02,0,0,0,0,0,0,0
1,54,"1_1","1","1","2022_10_06_13-50-40_480.jpg",0.02,0.08,0.02,0,0,0,0,0,0,0,0.84,0.03,0,0,0.01,0,0,0,0
1,55,"1_1","1","1","2022_10_06_13-50-40_488.jpg",0,0.03,0,0.06,0,0,0.01,0,0,0,0.82,0.08,0,0,0,0,0,0,0
1,56,"1_1","1","1","2022_10_06_13-50-40_56.jpg",0.04,0.15,0.04,0.04,0,0,0.03,0,0,0,0.68,0.01,0,0,0,0,0.01,0,0
1,57,"1_1","1","1","2022_10_06_13-50-40_64.jpg",0.02,0.13,0.01,0.04,0,0,0.07,0,0,0,0.65,0,0.08,0,0,0,0,0,0
1,58,"1_1","1","1","2022_10_06_13-50-40_72.jpg",0,0.19,0.08,0.05,0,0,0.01,0,0,0,0.59,0.08,0,0,0,0,0,0,0
1,59,"1_1","1","1","2022_10_06_13-50-40_8.jpg",0.01,0.13,0.07,0,0,0,0.03,0,0,0,0.61,0.02,0.02,0,0,0,0,0,0
1,60,"1_1","1","1","2022_10_06_13-50-40_80.jpg",0.01,0.28,0.07,0.09,0,0,0.01,0,0,0,0.48,0.03,0,0,0,0,0.01,0,0
1,61,"1_1","1","1","2022_10_06_13-50-40_88.jpg",0.01,0.07,0.01,0.01,0.01,0,0.01,0,0,0,0.76,0.07,0,0,0,0,0.01,0,0
1,62,"1_1","1","1","2022_10_06_13-50-40_96.jpg",0.02,0.08,0.01,0.07,0.01,0,0.01,0,0,0,0.7,0,0.08,0,0,0,0.01,0,0
1,63,"1_2","1","2","2022_10_06_14-05-43_0.jpg",0,0.1,0.02,0.04,0,0,0,0,0,0,0.53,0,0.25,0,0,0,0.06,0,0
1,64,"1_2","1","2","2022_10_06_14-05-43_104.jpg",0,0.03,0.01,0,0,0,0.33,0,0,0,0.47,0.12,0,0,0,0,0.03,0,0
1,65,"1_2","1","2","2022_10_06_14-05-43_112.jpg",0,0.11,0.19,0.05,0,0,0.04,0.01,0,0,0.5,0.02,0,0,0,0,0.01,0,0.01
1,66,"1_2","1","2","2022_10_06_14-05-43_120.jpg",0.01,0.01,0.09,0.01,0,0,0.07,0,0,0,0.79,0.02,0,0,0,0,0,0,0
1,67,"1_2","1","2","2022_10_06_14-05-43_128.jpg",0,0.02,0.11,0,0,0,0.01,0,0,0,0.66,0.01,0.19,0,0,0,0,0,0
1,68,"1_2","1","2","2022_10_06_14-05-43_136.jpg",0.01,0.14,0,0,0,0,0.01,0,0,0,0.82,0,0.01,0,0,0,0.01,0,0
1,69,"1_2","1","2","2022_10_06_14-05-43_144.jpg",0,0.03,0.02,0,0,0,0.01,0,0,0,0.92,0,0,0,0,0,0,0,0
1,70,"1_2","1","2","2022_10_06_14-05-43_152.jpg",0,0.02,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.02,0.04,0,0
1,71,"1_2","1","2","2022_10_06_14-05-43_16.jpg",0.03,0.11,0.06,0.01,0,0,0.08,0,0,0,0.5,0,0,0,0,0,0.02,0,0
1,72,"1_2","1","2","2022_10_06_14-05-43_160.jpg",0,0.11,0.02,0.02,0,0,0,0,0,0,0.81,0,0,0,0,0,0.01,0,0
1,73,"1_2","1","2","2022_10_06_14-05-43_168.jpg",0,0.13,0.01,0,0,0,0,0,0.01,0,0.83,0.01,0,0,0.01,0,0,0,0
1,74,"1_2","1","2","2022_10_06_14-05-43_176.jpg",0,0.2,0.08,0.02,0,0,0.01,0,0,0,0.55,0.01,0,0,0.01,0,0.02,0,0
1,75,"1_2","1","2","2022_10_06_14-05-43_184.jpg",0.01,0.1,0,0,0,0,0,0,0,0,0.78,0.01,0.08,0,0,0,0,0,0
1,76,"1_2","1","2","2022_10_06_14-05-43_192.jpg",0,0.2,0,0.01,0,0,0.03,0,0,0,0.59,0.11,0,0,0.01,0,0.02,0,0
1,77,"1_2","1","2","2022_10_06_14-05-43_200.jpg",0.01,0.15,0,0,0,0,0.01,0,0,0,0.67,0.02,0,0,0.02,0,0.01,0,0
1,78,"1_2","1","2","2022_10_06_14-05-43_208.jpg",0,0.16,0.15,0,0,0,0,0,0,0,0.49,0.04,0,0,0,0,0.02,0,0
1,79,"1_2","1","2","2022_10_06_14-05-43_216.jpg",0.02,0.13,0.06,0,0,0,0.06,0,0,0,0.65,0.01,0,0,0,0,0,0,0
1,80,"1_2","1","2","2022_10_06_14-05-43_224.jpg",0,0.04,0.13,0.05,0,0,0.04,0,0,0,0.68,0.01,0,0,0,0,0,0,0
1,81,"1_2","1","2","2022_10_06_14-05-43_232.jpg",0.01,0.04,0.01,0.02,0,0,0.03,0,0,0,0.88,0,0,0,0.01,0,0,0,0
1,82,"1_2","1","2","2022_10_06_14-05-43_24.jpg",0,0.15,0.04,0.04,0,0,0.07,0,0,0,0.49,0.01,0,0,0,0,0,0,0
1,83,"1_2","1","2","2022_10_06_14-05-43_240.jpg",0,0.03,0,0.01,0,0,0.1,0,0,0,0.84,0,0,0,0,0,0.01,0,0.01
1,84,"1_2","1","2","2022_10_06_14-05-43_248.jpg",0.05,0.06,0.05,0,0,0,0.09,0,0,0,0.71,0.01,0,0,0,0,0.01,0,0.02
1,85,"1_2","1","2","2022_10_06_14-05-43_256.jpg",0.12,0.16,0.06,0.01,0,0,0.05,0,0,0,0.53,0,0,0,0,0,0.05,0,0
