"key","site","transect","img_name","kelp_bryozoan","soft_sediment","cobble","pebble","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","shell_debris","hard_substrate","anthro_substrate","sessile_invert","mobile_invert","coralline_algae"
"1_1","1","1","2022_10_06_13-50-40_24.jpg",0,3,11,0,7,0,0,0,53,2,0,0,0,17,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_136.jpg",0,8,4,0,0,0,0,0,67,1,0,0,0,16,0,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_448.jpg",1,4,0,0,0,0,0,0,92,0,0,0,0,1,2,0,0,0,0
"1_1","1","1","2022_10_06_13-50-40_320.jpg",1,2,5,1,4,0,0,0,56,0,6,0,0,12,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_320.jpg",0,6,1,7,5,1,0,0,0,0,39,0,15,25,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_432.jpg",0,5,6,0,7,0,0,0,0,0,51,0,3,25,0,0,0,2,0
"2_1","2","1","2022_9_29_11-41-39_16.jpg",0,11,5,9,18,0,0,0,9,3,13,0,14,11,6,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_88.jpg",0,20,3,18,25,0,0,0,0,0,0,0,4,24,3,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_176.jpg",0,12,1,6,5,3,0,0,0,3,13,0,39,18,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_304.jpg",0,14,0,2,9,2,0,0,0,0,0,0,11,46,1,0,0,1,0
"2_1","2","1","2022_9_29_11-41-39_256.jpg",0,17,0,3,32,0,0,0,0,0,26,0,0,20,0,0,0,2,0
"2_1","2","1","2022_9_29_11-41-39_96.jpg",0,9,0,2,4,0,0,0,0,0,50,0,8,13,14,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_368.jpg",0,3,0,1,0,0,0,0,0,0,86,0,0,10,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_152.jpg",0,21,0,10,9,8,0,0,0,1,14,0,5,23,2,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_296.jpg",0,4,0,0,12,0,0,0,4,0,56,0,3,16,5,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_360.jpg",0,16,0,1,1,5,0,0,0,0,38,0,8,28,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_8.jpg",0,11,14,10,13,0,0,0,1,1,22,0,4,13,3,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_160.jpg",0,31,2,20,10,3,0,0,0,1,0,0,6,14,6,0,0,1,0
"2_1","2","1","2022_9_29_11-41-39_312.jpg",0,20,0,6,13,1,0,0,0,0,0,0,12,42,2,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_192.jpg",0,32,0,7,10,5,0,0,1,0,0,0,22,22,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_424.jpg",0,11,1,0,6,0,0,0,1,0,41,0,5,35,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_72.jpg",0,26,0,3,25,0,0,0,0,1,21,0,22,2,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_416.jpg",0,7,1,2,4,0,0,0,0,0,59,0,1,24,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_248.jpg",0,15,3,18,4,0,0,0,0,0,48,0,0,12,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_0.jpg",0,0,31,3,10,0,0,0,0,0,53,0,3,0,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_392.jpg",0,12,1,15,2,0,0,0,1,0,23,0,2,44,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_24.jpg",0,32,5,16,22,0,0,0,1,0,4,0,13,3,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_136.jpg",0,16,13,3,10,2,0,0,0,2,15,0,23,14,0,0,0,1,0
"2_1","2","1","2022_9_29_11-41-39_408.jpg",0,3,0,0,0,0,0,0,0,0,82,0,3,12,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_352.jpg",0,1,1,1,3,3,0,0,0,0,74,0,12,2,1,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_216.jpg",0,8,0,29,4,0,0,0,0,0,36,0,2,20,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_64.jpg",0,15,4,3,38,0,0,0,0,0,29,0,7,1,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_112.jpg",0,28,1,4,28,0,0,0,0,1,0,0,30,8,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_200.jpg",0,40,2,7,9,2,0,0,0,3,6,0,19,11,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_168.jpg",0,17,10,17,1,6,0,0,1,0,0,0,31,11,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_56.jpg",0,16,0,0,48,0,0,0,0,0,16,0,19,0,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_32.jpg",0,35,5,8,20,1,0,0,0,2,10,0,15,4,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_384.jpg",0,9,1,8,9,1,0,0,0,0,33,0,4,35,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_184.jpg",0,9,0,0,3,0,0,0,0,0,63,0,12,13,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_448.jpg",0,0,0,9,5,0,0,0,0,1,47,0,0,36,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_272.jpg",0,50,0,4,5,13,0,0,0,0,0,0,11,14,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_456.jpg",0,1,3,7,13,0,0,0,0,0,11,0,15,46,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_80.jpg",0,12,3,12,11,0,0,0,0,0,29,0,15,8,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_40.jpg",0,48,0,0,29,0,0,0,4,1,0,0,15,0,0,3,0,0,0
"2_1","2","1","2022_9_29_11-41-39_264.jpg",0,38,4,10,8,4,0,0,6,3,2,0,5,19,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_104.jpg",0,9,0,4,24,0,0,0,1,0,47,0,1,13,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_208.jpg",0,17,3,14,26,0,0,0,0,4,20,0,1,14,0,0,0,1,0
"2_1","2","1","2022_9_29_11-41-39_328.jpg",0,1,1,0,3,3,0,0,0,0,74,0,7,4,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_344.jpg",0,11,0,1,6,0,0,0,0,0,48,0,7,25,2,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_464.jpg",0,0,3,2,2,1,0,0,0,0,57,0,14,20,1,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_120.jpg",0,13,1,8,33,0,0,0,0,1,13,0,7,21,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_400.jpg",0,14,0,11,3,0,0,0,0,0,18,0,3,47,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_128.jpg",0,5,0,7,2,4,0,0,0,0,62,0,9,11,0,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_376.jpg",0,16,0,3,8,4,0,0,1,0,10,0,12,34,0,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_216.jpg",0,2,7,1,10,0,0,0,0,0,51,0,1,0,21,0,0,0,7
"3_1","3","1","2022_9_29_10-12-09_152.jpg",0,0,18,0,34,0,0,0,0,0,10,0,22,0,10,0,0,1,5
"3_1","3","1","2022_9_29_10-12-09_280.jpg",0,0,0,0,17,4,0,0,0,0,0,0,5,0,65,0,0,0,9
"3_1","3","1","2022_9_29_10-12-09_328.jpg",0,0,0,0,22,3,0,0,8,2,12,0,14,0,27,0,0,0,8
"3_1","3","1","2022_9_29_10-12-09_720.jpg",0,0,0,0,43,0,0,0,0,0,0,0,4,0,52,0,0,1,0
"3_1","3","1","2022_9_29_10-12-09_456.jpg",0,5,3,1,50,0,0,0,0,9,0,0,25,2,5,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_384.jpg",0,5,0,0,3,0,0,0,0,68,1,0,19,0,0,0,0,1,3
"3_1","3","1","2022_9_29_10-12-09_424.jpg",0,0,0,0,3,0,0,0,0,89,0,0,7,0,0,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_528.jpg",0,1,0,0,3,0,0,0,1,0,69,0,0,0,8,0,0,0,16
"3_1","3","1","2022_9_29_10-12-09_296.jpg",0,0,0,1,20,7,0,0,5,2,18,0,0,1,23,1,0,0,6
"3_1","3","1","2022_9_29_10-12-09_88.jpg",0,0,0,0,22,0,0,0,0,0,33,0,9,0,34,0,0,2,0
"3_1","3","1","2022_9_29_10-12-09_104.jpg",0,0,0,0,15,0,0,0,1,0,34,0,11,0,30,0,0,1,8
"3_1","3","1","2022_9_29_10-12-09_368.jpg",0,0,0,0,28,0,0,0,0,37,0,0,33,0,0,0,0,1,1
"3_1","3","1","2022_9_29_10-12-09_304.jpg",0,0,3,0,20,21,0,0,0,2,14,0,6,1,26,0,0,0,1
"3_1","3","1","2022_9_29_10-12-09_256.jpg",1,0,0,0,10,0,0,0,14,0,49,0,2,0,16,0,1,0,2
"3_1","3","1","2022_9_29_10-12-09_640.jpg",2,0,1,0,17,0,0,0,0,0,37,0,5,0,34,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_240.jpg",0,0,0,0,12,0,0,0,0,1,0,0,21,0,53,0,0,0,10
"3_1","3","1","2022_9_29_10-12-09_672.jpg",0,0,5,0,47,0,0,0,2,0,0,0,7,0,37,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_552.jpg",0,5,0,0,15,5,0,0,2,9,16,0,7,0,15,0,0,0,21
"3_1","3","1","2022_9_29_10-12-09_432.jpg",0,0,0,0,6,0,0,0,0,86,0,0,8,0,0,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_480.jpg",0,0,0,0,15,0,0,0,13,1,15,0,11,0,28,0,0,0,8
"3_1","3","1","2022_9_29_10-12-09_80.jpg",0,0,1,0,3,0,0,0,0,0,36,0,8,0,49,0,0,0,3
"3_1","3","1","2022_9_29_10-12-09_136.jpg",0,0,0,0,4,0,0,0,0,0,72,0,2,0,20,0,0,0,2
"3_1","3","1","2022_9_29_10-12-09_392.jpg",0,1,0,0,3,2,0,0,2,59,0,0,17,1,8,0,0,0,3
"3_1","3","1","2022_9_29_10-12-09_504.jpg",0,1,9,2,8,0,0,0,15,11,21,0,10,0,7,0,0,0,8
"3_1","3","1","2022_9_29_10-12-09_64.jpg",0,0,5,0,6,2,0,0,4,0,53,0,2,1,20,0,0,0,1
"3_1","3","1","2022_9_29_10-12-09_472.jpg",0,0,0,0,10,3,0,0,11,11,6,0,17,5,28,0,0,0,8
