"transect","count"
"1_1",62
"1_2",55
"1_3",39
"1_4",4
"2_1",59
"2_2",55
"3_1",92
"3_2",60
"3_3",31
"3_4",4
"4_1",63
"4_2",69
"5_1",99
"5_2",76
"5_3",41
"6_1",94
"6_2",56
"6_3",79
"6_4",63
"7_1",69
"7_2",89
"7_3",76
"8_1",85
"8_2",59
