"transect","count"
"1_1",50
"1_2",50
"1_3",39
"2_1",50
"2_2",50
"3_1",50
"3_2",50
"3_3",31
"4_1",50
"4_2",50
"5_1",50
"5_2",50
"5_3",41
"6_1",50
"6_2",50
"6_3",50
"7_1",50
"7_2",50
"7_3",50
"8_1",50
"8_2",50
